,id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year,star_names,distance,mass,radius,luminosity
111,111,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,0.0,57.0,L2β,0.021955524,0.16647606,0.0,Acrux,0320,18,8.9,"25,000"
112,112,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,0.0,57.0,L2β,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44,520
113,113,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,0.0,57.0,L2β,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44,520
114,114,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,0.0,57.0,L2β,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44,520
115,115,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,0.0,57.0,L2β,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44,520
116,116,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,0.0,57.0,L2β,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44,520
117,117,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,0.0,57.0,L2β,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44,520
118,118,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,0.0,57.0,L2β,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44,520
119,119,2MASSW J0045214+163445,Pisces,0h 45m 21.43s,16° 34′ 44.6″,0.0,57.0,L2β,0.021955524,0.16647606,0.0,Aldebaran,0065,1.5,44,520
120,120,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,0.0,40.0,L7.5p,0.011455056,0.13359189999999999,0.0,Antares,0600,12,680,"75,000"
121,121,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,0.0,40.0,L7.5p,0.011455056,0.13359189999999999,0.0,Antares,0600,12,680,"75,000"
122,122,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,0.0,40.0,L7.5p,0.011455056,0.13359189999999999,0.0,Antares,0600,12,680,"75,000"
123,123,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,0.0,40.0,L7.5p,0.011455056,0.13359189999999999,0.0,Antares,0600,12,680,"75,000"
124,124,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,0.0,40.0,L7.5p,0.011455056,0.13359189999999999,0.0,Antares,0600,12,680,"75,000"
125,125,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,0.0,40.0,L7.5p,0.011455056,0.13359189999999999,0.0,Antares,0600,12,680,"75,000"
126,126,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,0.0,40.0,L7.5p,0.011455056,0.13359189999999999,0.0,Antares,0600,12,680,"75,000"
127,127,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,0.0,40.0,L7.5p,0.011455056,0.13359189999999999,0.0,Antares,0600,12,680,"75,000"
128,128,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,0.0,40.0,L7.5p,0.011455056,0.13359189999999999,0.0,Spica,0260,11.43,7.47,"20,512"
129,129,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,0.0,40.0,L7.5p,0.011455056,0.13359189999999999,0.0,Spica,0260,11.43,7.47,"20,512"
130,130,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,0.0,34.0,T7,0.03818352,0.09659721999999998,0.0,Spica,0260,11.43,7.47,"20,512"
131,131,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,0.0,34.0,T7,0.03818352,0.09659721999999998,0.0,Spica,0260,11.43,7.47,"20,512"
132,132,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,0.0,34.0,T7,0.03818352,0.09659721999999998,0.0,Spica,0260,11.43,7.47,"20,512"
133,133,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,0.0,34.0,T7,0.03818352,0.09659721999999998,0.0,Spica,0260,11.43,7.47,"20,512"
134,134,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,0.0,34.0,T7,0.03818352,0.09659721999999998,0.0,Spica,0260,11.43,7.47,"20,512"
135,135,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,0.0,34.0,T7,0.03818352,0.09659721999999998,0.0,Spica,0260,11.43,7.47,"20,512"
136,136,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,0.0,34.0,T7,0.03818352,0.09659721999999998,0.0,Pollux,0034,1.9,8.8,43
137,137,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,0.0,34.0,T7,0.03818352,0.09659721999999998,0.0,Pollux,0034,1.9,8.8,43
